source,target,weight
0.0,0.0,6.025029055768224
0.0,1.0,-4.999131600798035
0.0,4.0,-1.025897454970189
1.0,0.0,-4.999131600798035
1.0,1.0,9.521323610814779
1.0,2.0,-1.1350191923073958
1.0,3.0,-1.6860331506149429
1.0,4.0,-1.7011396670944048
2.0,1.0,-1.1350191923073958
2.0,2.0,3.1209949022329564
2.0,3.0,-1.9859757099255606
3.0,1.0,-1.6860331506149429
3.0,2.0,-1.9859757099255606
3.0,3.0,10.512989522036174
3.0,4.0,-6.840980661495672
4.0,0.0,-1.025897454970189
4.0,1.0,-1.7011396670944048
4.0,3.0,-6.840980661495672
4.0,4.0,9.568017783560265
5.0,5.0,6.579923407466222
5.0,10.0,-1.9550285631772601
5.0,11.0,-1.525967440450974
5.0,12.0,-3.0989274038379877
8.0,8.0,5.326055039467361
8.0,9.0,-3.9020495524474295
8.0,13.0,-1.4240054870199312
9.0,8.0,-3.9020495524474295
9.0,9.0,5.782934306147829
9.0,10.0,-1.8808847537003992
10.0,5.0,-1.9550285631772601
10.0,9.0,-1.8808847537003992
10.0,10.0,3.8359133168776594
11.0,5.0,-1.525967440450974
11.0,11.0,4.014992027272893
11.0,12.0,-2.4890245868219187
12.0,5.0,-3.0989274038379877
12.0,11.0,-2.4890245868219187
12.0,12.0,6.724946148466233
12.0,13.0,-1.1369941578063267
13.0,8.0,-1.4240054870199312
13.0,12.0,-1.1369941578063267
13.0,13.0,2.560999644826258
