source,target,weight
0.0,0.0,-19.447070205514382
0.0,1.0,15.263086523179553
0.0,4.0,4.234983682334831
1.0,0.0,15.263086523179553
1.0,1.0,-30.272115398779064
1.0,2.0,4.781863151757718
1.0,3.0,5.115838325872083
1.0,4.0,5.193927397969713
2.0,1.0,4.781863151757718
2.0,2.0,-9.82238012935164
2.0,3.0,5.0688169775939205
3.0,1.0,5.115838325872083
3.0,2.0,5.0688169775939205
3.0,3.0,-38.65417120760779
3.0,4.0,21.578553981691588
3.0,6.0,4.88951266031734
3.0,8.0,1.8554995578159001
4.0,0.0,4.234983682334831
4.0,1.0,5.193927397969713
4.0,3.0,21.578553981691588
4.0,4.0,-35.533639456044824
4.0,5.0,4.257445335253384
5.0,4.0,4.257445335253384
5.0,5.0,-17.34073280991911
5.0,10.0,4.0940743442404415
5.0,11.0,3.1759639650294003
5.0,12.0,6.102755448193116
6.0,3.0,4.88951266031734
6.0,6.0,-19.549005948264654
6.0,7.0,5.676979846721545
6.0,8.0,9.09008271975275
7.0,6.0,5.676979846721545
7.0,7.0,-5.676979846721545
8.0,3.0,1.8554995578159001
8.0,6.0,9.09008271975275
8.0,8.0,-24.28250637526788
8.0,9.0,10.365394127060915
8.0,13.0,3.0290504569306034
9.0,8.0,10.365394127060915
9.0,9.0,-14.768337876521436
9.0,10.0,4.402943749460521
10.0,5.0,4.0940743442404415
10.0,9.0,4.402943749460521
10.0,10.0,-8.497018093700962
11.0,5.0,3.1759639650294003
11.0,11.0,-5.427938591201612
11.0,12.0,2.251974626172212
12.0,5.0,6.102755448193116
12.0,11.0,2.251974626172212
12.0,12.0,-10.66969354947068
12.0,13.0,2.314963475105352
13.0,8.0,3.0290504569306034
13.0,12.0,2.314963475105352
13.0,13.0,-5.344013932035955
