source,target,weight
0.0,0.0,-17.361111111111114
0.0,3.0,17.361111111111114
1.0,1.0,-16.0
1.0,7.0,16.0
2.0,2.0,-17.064846416382252
2.0,5.0,17.064846416382252
3.0,0.0,17.361111111111114
3.0,3.0,-39.30888872611898
3.0,4.0,10.510682051867931
3.0,8.0,11.60409556313993
4.0,3.0,10.510682051867931
4.0,4.0,-15.840927014229457
4.0,5.0,5.588244962361526
5.0,2.0,17.064846416382252
5.0,4.0,5.588244962361526
5.0,5.0,-32.153861805106956
5.0,6.0,9.784270426363173
6.0,5.0,9.784270426363173
6.0,6.0,-23.30324902327162
6.0,7.0,13.697978596908444
7.0,1.0,16.0
7.0,6.0,13.697978596908444
7.0,7.0,-35.44561313021703
7.0,8.0,5.975134533308591
8.0,3.0,11.60409556313993
8.0,7.0,5.975134533308591
8.0,8.0,-17.338230096448523
